Strain	N_Gene_tot	DNApol_III_a_sub	tRNA_synthetase	16rRNA	cellulase	Blactamase
Campylobacter_jejuni_subsp._jejuni_strain_FDAARGOS_265	1881	1	20	4	0	1
Lactobacillus_paracasei_strain_TD_062	3494	1	23	1	6	8
Propionibacterium_acnes_HL096PA1	2646	2	21	1	3	3
Listeria_monocytogenes_strain_N2306	2983	1	23	3	0	3
Helicobacter_pylori_strain_C-Mx-2010-5	1779	1	20	0	0	0
Lactobacillus_fermentum_strain_MTCC_25067	2464	1	22	6	2	3
Streptococcus_pyogenes_NZ131	1969	1	25	3	2	1
Aeromicrobium_fastidiosum_strain_NRBC_14897	5033	2	26	1	6	6
Enterobacter_hormaechei_subsp._xiangfangensis_strain_UM_CRE-14	5215	1	23	0	4	7
Idiomarinaceae_bacterium_HL-53	2669	3	22	4	4	4
Providencia_stuartii_strain_FDAARGOS_645_strain_Not_applicable	4807	1	23	7	7	4
Clostridium_tetani_E88	2891	1	20	2	5	7
Cellvibrio_sp._YR554	4718	1	23	2	10	5
Salmonella_enterica_subsp._enterica_strain_CFSA629	5757	1	24	0	6	3
Streptococcus_pyogenes_strain_SASM4-Duke	2153	1	24	0	2	1
Synechocystis_sp._PCC_6803	3978	2	22	1	7	3
Bacillus_subtilis_strain_SRCM103629	4500	1	25	10	5	5
Anaerolinea_thermophila_UNI-1	3348	1	22	1	9	6
Helicobacter_pylori_strain_7.13_D3c	1798	1	20	2	0	0
Helicobacter_pylori_strain_NCTC13345	1733	1	20	2	3	0
Escherichia_coli_strain_2012C-4221	5357	1	23	9	4	1
Pseudomonas_oryzae_strain_KCTC_32247	4470	1	22	9	1	3
Klebsiella_pneumoniae_subsp._pneumoniae_strain_RJA166	6420	3	30	2	12	7
Pantoea_vagans_strain_PV989	4835	1	22	2	9	5
Pseudomonas_stutzeri_strain_PM101005	4897	2	22	4	9	8
Acinetobacter_baumannii_ACICU	3787	1	21	2	5	7
Bacillus_megaterium_WSH-002	5608	1	26	2	6	5
Methanobrevibacter_smithii_ATCC_35061	1841	0	19	1	1	0
Francisella_noatunensis_subsp._orientalis_strain_FNO215	2400	1	21	3	1	5
Paenibacillus_sp._FSL_R7-0273	6478	1	33	2	14	12
Mycobacterium_tuberculosis_strain_H83	4685	2	21	1	7	10
Clostridioides_difficile_strain_020695	4301	1	25	12	6	6
Mannheimia_haemolytica_strain_1609	3161	1	22	6	4	4
Microcystis_panniformis_FACHB-1757	8296	2	22	3	10	6
Streptococcus_pyogenes_strain_emm58	2082	1	25	0	2	1
Bifidobacterium_longum_subsp._infantis_157F_strain_157F-NC	2172	1	19	1	3	0
Mycobacterium_tuberculosis_strain_M0014296-9	4577	2	21	2	11	10
Bordetella_sp._HZ20	4651	2	21	1	5	4
Planctomycetes_bacterium_Pan216	7833	2	20	1	6	9
Pseudomonas_sp._THAF42	5661	2	22	4	1	6
Bacillus_cereus_F	5922	1	32	16	12	19
Escherichia_coli_str._K-12_substr._MG1655	5036	1	24	2	4	1
Planctomycetes_bacterium_Pan44	6989	2	21	2	7	13
Streptococcus_pyogenes_strain_NCTC12059	1925	1	23	9	3	1
Brucella_suis_strain_QH05	3634	2	21	1	2	4
Burkholderia_pseudomallei_strain_MSHR7929	7623	2	24	2	9	7
Agrobacterium_sp._33MFTa1.1	5480	2	21	4	7	10
Escherichia_coli_O16:H48_strain_PG20180062	5089	1	23	0	8	2
Escherichia_coli_strain_EC974	5856	1	23	2	10	4
Francisella_philomiragia_subsp._philomiragia_ATCC_25017	2030	1	21	1	4	2
Mycobacterium_bovis_BCG_strain_26	5249	2	24	2	4	11
Salmonella_enterica_subsp._enterica_serovar_Enteritidis_str._SA20095440	3678	0	11	1	6	1
Bordetella_pertussis_strain_I975	4384	3	21	1	4	1
Escherichia_coli_strain_4A	4801	1	24	9	5	3
Ruthenibacterium_lactatiformans_strain_Ruthenibacterium_lactatiformans_82B1	5104	1	24	2	8	9
Bordetella_parapertussis_strain_H555	4767	2	21	3	3	3
Blattabacterium_sp._(Mastotermes_darwiniensis)_str._MADAR	623	1	21	1	2	2
Xanthomonas_oryzae_pv._oryzae_strain_AXO1947	4992	2	22	4	13	3
Brucella_melitensis_strain_BwIM_SYR_08	3686	2	20	1	3	3
Streptococcus_pyogenes_MGAS10270	2116	1	24	3	4	1
NA	2046	1	20	1	4	5
Salmonella_enterica_subsp._enterica_serovar_Paratyphi_A_strain_A63-72	5033	1	23	3	8	1
Legionella_pneumophila_strain_2531STDY5467330	5239	1	22	6	10	5
Salmonella_enterica_strain_QH	5327	1	24	0	8	1
Bradyrhizobium_sp._ORS_285_strain_ORS285	7764	2	23	3	7	18
Ehrlichia_ruminantium_str._Welgevonden	1058	1	22	1	0	1
Caulobacter_vibrioides_strain_CB2	4205	2	21	2	4	13
Salmonella_enterica_subsp._enterica_strain_BAA-1586	5124	1	23	2	6	1
Haemophilus_influenzae_strain_C486	1909	1	22	8	0	0
Phascolarctobacterium_succinatutens_YIT_12067_strain_Phascolarctobacterium_succinatutens_82G5	2590	1	22	5	2	2
Staphylococcus_aureus_strain_AR461	3048	1	21	8	3	2
Actinoplanes_sp._OR16	8812	2	27	6	18	13
Tannerella_sp._oral_taxon_HOT-286_strain_W11666	3085	1	21	1	4	1
Methanosarcina_mazei_WWM610	4635	0	21	4	6	3
Streptococcus_agalactiae_strain_HN016	2194	2	23	3	1	1
Lactobacillus_salivarius_strain_ZLS006	2354	1	23	3	0	1
Bordetella_pertussis_strain_H883	4378	3	21	1	5	1
Janthinobacterium_svalbardensis_strain_PAMC_27463	5997	3	22	2	4	17
Paracoccus_mutanolyticus_strain_RSP-02	5363	15	34	2	9	6
Shigella_sonnei_strain_2015C-3807	6251	4	24	2	8	3
Neisseria_flavescens_strain_ATCC_13120	2597	1	21	0	2	0
Bdellovibrio_bacteriovorus_str._Tiberius	3817	2	22	1	7	6
Bacillus_licheniformis_strain_SRCM100141	5614	2	26	11	14	7
Bacillus_atrophaeus_strain_GQJK17	4674	1	27	6	5	6
Vibrio_anguillarum_strain_PF4	3899	1	24	3	5	3
Coprothermobacter_platensis_DSM_11748	3526	2	21	1	4	8
Mycobacterium_tuberculosis_str._Erdman_=_ATCC_35801	4554	2	21	1	7	10
Bacillus_cereus_S2-8	6887	3	22	4	12	7
Haemophilus_influenzae_strain_723	1982	1	22	8	3	0
Streptomyces_platensis_strain_ATCC_23948	8185	3	22	7	6	17
Bacillus_thuringiensis_serovar_kurstaki_str._HD-1	7353	1	34	2	8	19
Campylobacter_coli_15-537360	1807	1	20	1	0	1
Bacillus_licheniformis_strain_P8_B2	5002	1	26	8	13	8
Bacillus_velezensis_strain_NJAU-Z9	4013	1	23	11	6	5
Escherichia_coli_strain_131	5856	1	23	0	8	2
Escherichia_coli_O16:H48_strain_PG20180059	5078	1	23	0	7	2
Clavibacter_michiganensis_subsp._nebraskensis_strain_7580	3004	2	20	2	6	5
Legionella_pneumophila_str._Paris	3539	1	23	1	7	9
Mycobacterium_tuberculosis_PanR0401	4498	2	21	1	8	10
Yersinia_pestis_Nairobi	4496	1	22	2	13	3
Bordetella_pertussis_strain_J379	4421	3	21	3	4	1
Micromonospora_echinofusca_strain_DSM_43913	6517	2	25	5	8	15
Staphylococcus_aureus_strain_NRS100	2808	1	21	8	3	1
Corynebacterium_pseudotuberculosis_strain_MIC6	2344	1	20	5	2	1
Lactobacillus_amylovorus_strain_PMRA3	2530	3	23	3	6	7
Alteromonas_macleodii_str._English_Channel_615	5368	5	25	1	11	5
Escherichia_coli_strain_Ecol_542	6016	1	23	2	10	4
Campylobacter_jejuni_strain_BC	1801	1	20	3	1	1
Lelliottia_sp._WB101	4787	1	23	2	7	5
Haemophilus_aegyptius_strain_NCTC8134	2233	1	26	6	4	0
Desulfitobacterium_hafniense_Y51	5713	1	27	1	7	14
Alcanivorax_sp._E4	1562	1	14	3	0	2
Acidovorax_avenae_subsp._avenae_strain_AA81_1	5957	3	23	2	6	5
NA	1197	1	20	1	0	1
Escherichia_coli_strain_NCTC9066	4762	1	23	7	12	3
Allokutzneria_albata_strain_DSM_44149	8429	3	30	5	13	34
Ralstonia_mannitolilytica_strain_SN82F48	5024	2	21	2	5	7
Burkholderia_ubonensis_strain_MSMB2020WGS	6909	3	25	2	9	11
Duncaniella_sp._C9	3319	1	21	4	7	0
Pseudomonas_aeruginosa_PA1R	6083	2	22	2	5	10
Streptococcus_pyogenes_strain_NCTC13744	1916	1	23	9	2	1
Bacteroides_dorei_strain_HS1_L_1_B_010	5288	1	21	1	13	5
Brucella_melitensis_strain_1	3516	2	20	4	4	3
Salmonella_enterica_subsp._enterica_serovar_Enteritidis_str._EC20121812	4664	1	23	2	2	1
Acetobacteraceae_bacterium_strain_880	2076	1	20	0	0	1
Staphylococcus_epidermidis_ATCC_12228	2520	1	21	2	3	7
Streptococcus_pneumoniae_strain_2245STDY6106751_strain_GPSC48	3208	1	24	1	6	3
Streptococcus_pyogenes_strain_MGAS27961	2025	1	23	0	3	1
Escherichia_coli_strain_4/0	6034	2	25	0	6	3
Pseudomonas_fluorescens_strain_FW300-N2E3	6278	2	25	2	6	7
Flavobacteriaceae_bacterium_3519-10	2605	2	21	1	3	7
Gynuella_sunshinyii_YC6258	6405	2	24	4	9	5
Achromobacter_spanius_strain_UQ283	6476	2	21	4	4	7
Xanthomonas_phaseoli_pv._phaseoli_strain_CFBP412	5195	2	22	4	15	5
Escherichia_coli_O16:H48_strain_PG20180050	5039	1	23	0	8	2
Bacillus_lehensis_G1	4213	1	26	2	5	6
Acidovorax_sp._strain_PMG_206	7621	1	21	2	5	8
Lactobacillus_ginsenosidimutans_strain_EMML_3041	2783	1	22	1	0	1
Corynebacterium_glutamicum_ATCC_13032	3080	3	19	1	2	2
Staphylococcus_aureus_strain_AR462	2771	1	21	8	3	5
Francisella_philomiragia_GA01-2801	2068	1	21	1	3	2
Citrobacter_youngae_strain_L6	5000	1	24	2	6	5
Pseudomonas_fluorescens_A506	5463	2	22	2	6	6
Escherichia_coli_strain_95NR1	6406	1	23	9	10	1
Fusobacterium_gonidiaformans_ATCC_25563	1945	1	21	2	2	0
Corynebacterium_diphtheriae_HC02	2491	2	20	1	3	2
Spiroplasma_chrysopicola_DF-1	1065	1	21	1	0	0
Klebsiella_pneumoniae_strain_4/1-2	6119	1	28	0	6118	8
Listeria_monocytogenes_L312	2950	1	23	2	99	3
Haemophilus_aegyptius_ATCC_11116	2229	1	26	8	1	0
Pseudomonas_lurida_strain_MYb11	5767	2	22	2	11	6
Rhodococcus_erythropolis_strain_BG43	6768	2	22	3	3	13
Leptospira_interrogans_strain_FMAS_KW2	5428	1	20	0	3	1
Nonlabens_spongiae_strain_JCM_13191	3451	2	22	1	4	4
Mycobacterium_tuberculosis_C00010178	4717	2	23	1	7	11
Staphylococcus_aureus_strain_CFSAN007850	3005	1	21	6	5	3
Bacillus_sp._wens01	7441	8	47	10	14	8
Piscirickettsia_salmonis_strain_Psal-051	4788	1	21	6	6	0
Rothia_dentocariosa_strain_NCTC10207	2661	1	20	3	14	2
NA	1929	1	20	2	0	3
Vibrio_cholerae_MJ-1236	3956	1	23	2	6	3
Haloterrigena_jeotgali_strain_A29	6034	0	25	4	8	1
Escherichia_coli_strain_AMSCJX02	6015	1	24	2	5	3
Xanthomonas_albilineans_strain_GPE_PC73	3213	1	22	2	6	4
Klebsiella_pneumoniae_strain_Kp_Goe_827026	6367	1	26	2	9	8
